date,A0110402001,A104507035,E0104705010,T100503002,T102007001,T103204001,T104209001,T106605002,T109203001,T109205004,T109902001,T109902002,T110505001,T200103002,T203901002,T203908001,T205105003,T210101002,T210408001,T210701004,T210708002,T210709001,T210709003,T210904001,T300307001,T300406089,T300508099,T300608006,T300608033,T300901091,T300901113,T301911010,T302602009,T302603034,T302806050,T303007001,T304802030,T304802122,T305001120,T305519001,T305602003,T305607002,T305607004,T305607005,T306004001,T306102001,T306102002,T308703001,T308705001,T308707002,T309306012,T309708020,T3HH
14/08/2018,B,NA,NA,A,A,A,NA,NA,NA,A,NA,NA,A,A,NA,A,A,NA,A,NA,A,A,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/08/2018,B,NA,NA,A,A,A,NA,NA,NA,A,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,B,A,NA,A,A,A,NA,NA,NA,A,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA
17/08/2018,B,NA,NA,A,A,A,A,NA,NA,A,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,A,A,A,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,A,NA,NA,NA,A,NA,NA,NA,A,NA,NA,A,A,NA,NA,NA
18/08/2018,B,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,A,A,A,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,A,A,NA,NA,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA
19/08/2018,B,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,A,A,NA,A,NA,A,A,NA,NA,NA,A,NA,A,A,NA,NA,A,NA,NA,A,A,NA,NA,A,A,A,A,NA,NA,A,NA,A,NA,A,NA,A,NA,A,NA,NA,NA
20/08/2018,B,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA,A,A,NA,A,A,A,A,NA,NA,NA,A,A,A,A,NA,NA,A,NA,NA,A,A,NA,NA,A,A,A,A,NA,NA,A,NA,A,NA,A,NA,A,NA,A,NA,NA,NA
21/08/2018,B,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,A,A,NA,A,NA,NA,A,NA,NA,NA,A,A,A,A,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,A,NA,A,NA,NA,NA
22/08/2018,B,NA,NA,NA,A,A,A,NA,A,A,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,A,A,A,A,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,A,NA,A,NA,A,NA,A,NA,NA,NA,A,NA,NA,NA
23/08/2018,B,NA,NA,A,A,A,A,NA,A,NA,A,NA,A,A,NA,A,NA,NA,A,NA,NA,A,A,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,A,NA,NA
24/08/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,NA,A,NA,A,A,NA,A,NA,NA,NA,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,NA,NA
25/08/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/08/2018,B,NA,NA,NA,A,A,NA,NA,NA,A,NA,NA,A,A,NA,A,NA,NA,A,NA,NA,NA,A,A,A,NA,A,NA,A,NA,A,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
27/08/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA
28/08/2018,B,NA,NA,A,NA,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,NA,A,NA,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,A,A,NA,NA
29/08/2018,B,NA,NA,A,A,A,NA,NA,NA,A,A,NA,A,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA
30/08/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA
31/08/2018,B,NA,NA,NA,NA,A,A,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,A,NA,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,A,NA,NA,NA
01/09/2018,B,NA,NA,NA,A,A,A,NA,NA,A,A,NA,A,A,NA,A,A,NA,A,NA,NA,A,A,NA,A,A,A,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
02/09/2018,B,NA,NA,NA,A,NA,A,NA,NA,A,A,NA,A,A,NA,A,NA,NA,A,NA,NA,A,NA,A,A,A,A,NA,NA,NA,NA,A,NA,NA,NA,A,NA,A,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
03/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,A,A,A,A,NA,A,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
04/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,A,A,A,NA,NA,A,NA,NA,A,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,A,A,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA
05/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,A,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA
06/09/2018,B,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,A,NA,NA,NA,A,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA
07/09/2018,B,NA,NA,NA,NA,A,NA,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,A,NA,NA,A,A,NA,A,A,A,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,NA,NA
08/09/2018,B,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,A,A,NA,NA,A,A,NA,A,A,A,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA
09/09/2018,B,NA,NA,NA,NA,A,A,NA,A,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA
10/09/2018,B,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
11/09/2018,B,NA,NA,NA,A,NA,A,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
12/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/09/2018,B,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
15/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA
16/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA
17/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,A,A,NA,NA,NA,NA,NA
18/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,A,A,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,A,A,NA,NA,A,NA,NA
19/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,A,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,A,A,NA,NA,A,NA,NA
20/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,A,A,A,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,A,NA,A,A,A,A,A,A,NA,NA,A,NA,NA
21/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,A,A,A,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,A,A,A,A,NA,NA,NA,NA,NA
22/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,A,A,A,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA
23/09/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,A,A,A,A,A,A,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,NA,NA
24/09/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,NA,A,A,A,A,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA
25/09/2018,B,NA,NA,NA,A,A,A,NA,A,NA,A,NA,NA,A,NA,NA,A,A,NA,NA,NA,A,NA,A,A,A,A,A,A,A,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA
26/09/2018,B,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA,A,NA,A,A,A,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA
27/09/2018,B,NA,NA,NA,NA,A,A,NA,A,NA,NA,NA,A,A,NA,A,A,NA,NA,NA,NA,A,NA,A,A,A,NA,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,NA,NA,NA
28/09/2018,B,NA,NA,NA,A,NA,NA,NA,A,NA,A,NA,A,A,NA,A,NA,NA,A,NA,A,A,A,A,A,NA,NA,A,A,A,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,NA
29/09/2018,B,A,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,A,A,A,NA,NA,A,A,A,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,A,A,A,NA,A,NA,NA,NA
30/09/2018,B,A,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,A,A,A,NA,A,NA,A,A,A,A,A,NA,NA,A,A,A,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,A,A,A,NA,A,NA,NA,NA
01/10/2018,B,A,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,A,A,NA,NA,A,NA,A,A,A,A,A,NA,NA,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,NA
02/10/2018,B,A,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,A,A,A,A,A,A,NA,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,NA
03/10/2018,B,A,NA,NA,A,A,NA,A,A,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,A,A,A,A,NA,NA,A,NA,NA,A,A,NA,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,A,A,NA,NA,A,NA,NA,NA
04/10/2018,B,A,NA,NA,A,A,A,A,NA,NA,A,NA,A,A,NA,A,A,NA,NA,NA,NA,A,A,A,A,A,NA,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,A,A,NA,NA,A,NA,NA,NA
05/10/2018,B,A,NA,NA,A,A,A,A,NA,NA,A,NA,A,A,NA,A,A,NA,A,NA,NA,A,A,A,A,A,A,NA,A,A,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA
06/10/2018,B,A,NA,NA,A,A,A,A,NA,NA,NA,NA,A,A,NA,A,A,NA,A,NA,NA,A,NA,A,A,A,A,NA,A,A,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA
07/10/2018,B,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,NA,A,NA,A,A,A,A,NA,A,A,NA,A,A,A,NA,A,NA,NA,A,NA,NA,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA
08/10/2018,A,A,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,A,NA,NA,A,NA,A,NA,NA,A,NA,A,A,A,A,NA,A,A,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA
09/10/2018,B,A,NA,NA,A,A,NA,NA,A,NA,A,NA,A,A,NA,A,NA,NA,A,NA,A,A,NA,A,A,A,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,NA,A,A,A,A,A,A,NA,NA,A,NA,NA,NA
10/10/2018,B,A,NA,NA,A,A,A,NA,A,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,A,A,NA,NA,NA,NA,NA,NA
11/10/2018,B,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,A,A,NA,NA,A,A,NA,NA
12/10/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,A,A,NA,NA,A,NA,NA,NA
13/10/2018,B,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,A,A,NA,NA,A,NA,NA,NA
14/10/2018,B,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,A,A,NA,NA,A,NA,NA,NA
15/10/2018,B,A,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA
16/10/2018,B,NA,NA,NA,A,A,NA,A,A,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA
17/10/2018,B,A,NA,A,A,A,A,NA,A,NA,A,NA,A,A,NA,A,NA,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,A,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,A,NA,NA,A,NA,NA,NA
18/10/2018,B,NA,NA,A,A,A,A,NA,NA,NA,A,NA,A,A,NA,A,NA,NA,A,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,A,A,A,NA,NA,A,NA,NA,NA
19/10/2018,B,A,NA,A,A,A,A,NA,NA,NA,A,NA,A,A,NA,A,A,NA,NA,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,A,A,NA,NA,A,NA,NA,NA
20/10/2018,B,A,NA,A,A,A,A,NA,NA,NA,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,A,A,A,NA,NA,A,NA,NA,NA
21/10/2018,B,NA,NA,A,A,A,NA,NA,A,NA,NA,NA,A,A,A,NA,NA,A,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,A,A,NA,NA,A,NA,NA,NA
22/10/2018,B,NA,NA,A,A,A,A,NA,A,NA,NA,NA,A,A,A,NA,A,A,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA
23/10/2018,B,A,NA,A,A,A,A,NA,A,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA
24/10/2018,B,NA,NA,A,A,A,NA,NA,A,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,A,NA,NA
25/10/2018,B,NA,NA,A,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,A,A,NA,NA,NA,A,NA,NA
26/10/2018,B,NA,NA,A,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,A,NA,NA
27/10/2018,B,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,A,NA,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,A,NA,NA
28/10/2018,B,NA,NA,NA,A,A,A,NA,A,NA,A,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,A,A,NA,A,A,A,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,A,NA,NA,NA,A,A,NA,NA
29/10/2018,B,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,A,NA,NA,A,A,A,NA,NA,NA,A,NA,NA,NA,A,A,A,A,A,NA,NA
30/10/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,A,NA,A,A,NA,NA,A,A,NA,NA,A,A,NA,A,A,NA,A,NA,A,NA,NA,A,A,NA,NA,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,A,NA,A,A,A,NA,NA
31/10/2018,B,NA,NA,NA,A,A,A,NA,A,NA,A,NA,A,A,NA,A,A,NA,NA,NA,NA,A,NA,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,A,NA,NA,NA,A,NA,A,A,A,NA,NA
01/11/2018,A,NA,NA,NA,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,NA,A,NA,A,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,A,A,NA,A,NA,NA,A,A,NA,NA,NA,A,NA,A,A,A,NA,NA
02/11/2018,B,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,A,NA,NA,A,A,NA,A,A,A,NA,NA
03/11/2018,B,NA,NA,NA,A,A,A,NA,A,NA,NA,NA,A,A,NA,NA,A,A,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,A,A,A,NA,NA
04/11/2018,B,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA
05/11/2018,B,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,A,A,NA,NA
06/11/2018,B,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,A,NA,NA
07/11/2018,B,A,NA,NA,A,NA,A,A,A,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,A,NA,NA
08/11/2018,B,A,NA,NA,NA,A,A,A,A,NA,A,NA,NA,A,NA,A,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA
09/11/2018,B,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA,NA,NA
10/11/2018,B,A,NA,NA,NA,A,A,A,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,A,A,NA,NA,A,NA,A,NA,NA,A,A,NA,A,A,NA,NA
11/11/2018,B,A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,A,A,NA,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA
12/11/2018,B,A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,A,A,NA,NA,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA
13/11/2018,B,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,A,A,NA,NA,A,NA,A,A,A,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA
14/11/2018,B,NA,NA,NA,NA,A,A,NA,NA,NA,A,NA,NA,A,NA,A,A,NA,NA,NA,A,A,NA,NA,A,NA,A,NA,A,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA
15/11/2018,B,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,A,NA,NA,A,NA,NA,NA,A,NA,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,A,NA,NA,NA
